Date,Quantity Used,Time Index,Month,Day of Week,Day of Month,BMW Model,Car Part
2020-01-31,50,0,1,4,31,BMW 3 Series,Brake Pads
2020-02-29,60,1,2,5,29,BMW 3 Series,Brake Pads
2020-03-31,55,2,3,1,31,BMW 3 Series,Brake Pads
2020-04-30,64,3,4,3,30,BMW 3 Series,Brake Pads
2020-05-31,60,4,5,6,31,BMW 3 Series,Brake Pads
2020-06-30,65,5,6,1,30,BMW 3 Series,Brake Pads
2020-07-31,67,6,7,4,31,BMW 3 Series,Brake Pads
2020-08-31,62,7,8,0,31,BMW 3 Series,Brake Pads
2020-09-30,58,8,9,2,30,BMW 3 Series,Brake Pads
2020-10-31,55,9,10,5,31,BMW 3 Series,Brake Pads
2020-11-30,67,10,11,0,30,BMW 3 Series,Brake Pads
2020-12-31,73,11,12,3,31,BMW 3 Series,Brake Pads
2021-01-31,74,12,1,6,31,BMW 3 Series,Brake Pads
2021-02-28,75,13,2,6,28,BMW 3 Series,Brake Pads
2021-03-31,79,14,3,2,31,BMW 3 Series,Brake Pads
2021-04-30,94,15,4,4,30,BMW 3 Series,Brake Pads
2021-05-31,98,16,5,0,31,BMW 3 Series,Brake Pads
2021-06-30,86,17,6,2,30,BMW 3 Series,Brake Pads
2021-07-31,87,18,7,5,31,BMW 3 Series,Brake Pads
2021-08-31,83,19,8,1,31,BMW 3 Series,Brake Pads
2021-09-30,78,20,9,3,30,BMW 3 Series,Brake Pads
2021-10-31,77,21,10,6,31,BMW 3 Series,Brake Pads
2021-11-30,78,22,11,1,30,BMW 3 Series,Brake Pads
2021-12-31,97,23,12,4,31,BMW 3 Series,Brake Pads
2022-01-31,109,24,1,0,31,BMW 3 Series,Brake Pads
2022-02-28,99,25,2,0,28,BMW 3 Series,Brake Pads
2022-03-31,123,26,3,3,31,BMW 3 Series,Brake Pads
2022-04-30,109,27,4,5,30,BMW 3 Series,Brake Pads
2022-05-31,102,28,5,1,31,BMW 3 Series,Brake Pads
2022-06-30,109,29,6,3,30,BMW 3 Series,Brake Pads
2022-07-31,110,30,7,6,31,BMW 3 Series,Brake Pads
2022-08-31,105,31,8,2,31,BMW 3 Series,Brake Pads
2022-09-30,98,32,9,4,30,BMW 3 Series,Brake Pads
2022-10-31,114,33,10,0,31,BMW 3 Series,Brake Pads
2022-11-30,111,34,11,2,30,BMW 3 Series,Brake Pads
2022-12-31,117,35,12,5,31,BMW 3 Series,Brake Pads
2023-01-31,126,36,1,1,31,BMW 3 Series,Brake Pads
2023-02-28,116,37,2,1,28,BMW 3 Series,Brake Pads
2023-03-31,128,38,3,4,31,BMW 3 Series,Brake Pads
2023-04-30,137,39,4,6,30,BMW 3 Series,Brake Pads
2023-05-31,141,40,5,2,31,BMW 3 Series,Brake Pads
2023-06-30,134,41,6,4,30,BMW 3 Series,Brake Pads
2023-07-31,140,42,7,0,31,BMW 3 Series,Brake Pads
2023-08-31,124,43,8,3,31,BMW 3 Series,Brake Pads
2023-09-30,122,44,9,5,30,BMW 3 Series,Brake Pads
2023-10-31,120,45,10,1,31,BMW 3 Series,Brake Pads
2023-11-30,129,46,11,3,30,BMW 3 Series,Brake Pads
2023-12-31,137,47,12,6,31,BMW 3 Series,Brake Pads
2024-01-31,146,48,1,2,31,BMW 3 Series,Brake Pads
2024-02-29,161,49,2,3,29,BMW 3 Series,Brake Pads
2024-03-31,161,50,3,6,31,BMW 3 Series,Brake Pads
2024-04-30,158,51,4,1,30,BMW 3 Series,Brake Pads
2024-05-31,162,52,5,4,31,BMW 3 Series,Brake Pads
2024-06-30,165,53,6,6,30,BMW 3 Series,Brake Pads
2024-07-31,157,54,7,2,31,BMW 3 Series,Brake Pads
2024-08-31,159,55,8,5,31,BMW 3 Series,Brake Pads
2024-09-30,158,56,9,0,30,BMW 3 Series,Brake Pads
2024-10-31,146,57,10,3,31,BMW 3 Series,Brake Pads
2024-11-30,151,58,11,5,30,BMW 3 Series,Brake Pads
2024-12-31,157,59,12,1,31,BMW 3 Series,Brake Pads
2025-01-31,161,60,1,4,31,BMW 3 Series,Brake Pads
2025-02-28,180,61,2,4,28,BMW 3 Series,Brake Pads
2025-03-31,186,62,3,0,31,BMW 3 Series,Brake Pads
2025-04-30,185,63,4,2,30,BMW 3 Series,Brake Pads
2025-05-31,197,64,5,5,31,BMW 3 Series,Brake Pads
2025-06-30,187,65,6,0,30,BMW 3 Series,Brake Pads
2025-07-31,183,66,7,3,31,BMW 3 Series,Brake Pads
2025-08-31,175,67,8,6,31,BMW 3 Series,Brake Pads
2025-09-30,177,68,9,1,30,BMW 3 Series,Brake Pads
2025-10-31,175,69,10,4,31,BMW 3 Series,Brake Pads
2025-11-30,181,70,11,6,30,BMW 3 Series,Brake Pads
2025-12-31,177,71,12,2,31,BMW 3 Series,Brake Pads
